cutoff,rss,N_grid,N_low,N_high,share_low,share_high,b_low,se_low,t_low,p_low,b_high,se_high,t_high,p_high,sign_ok
-.013656682359389,1.896234,1060,159,901,.15000001,.85000002,4.5351071,1.5886886,2.8546231,.0044009634,-.23402978,.46415856,-.50420225,.61423427,1
-.0135647096671077,1.8961262,1060,159,901,.15000001,.85000002,4.5306191,1.5851926,2.8580875,.004353601,-.23372713,.4642446,-.50345683,.6147579,1
-.0135452912413601,1.896103,1060,160,900,.1509434,.8490566,4.5296841,1.584458,2.8588223,.0043436172,-.2336614,.46426266,-.50329572,.61487114,1
-.0134324986727356,1.8959726,1060,161,899,.15188679,.84811318,4.5239763,1.5802429,2.8628359,.0042894389,-.23327082,.46436748,-.50234103,.61554217,1
-.0131657289471152,1.8956318,1060,162,898,.15283018,.84716982,4.5119648,1.5702448,2.8734148,.0041495711,-.23236401,.46461299,-.5001238,.61710179,1
-.0129205630077129,1.8953149,1060,164,896,.15471698,.84528303,4.5008516,1.5610985,2.883131,.0040247743,-.23153538,.4648335,-.49810389,.61852419,1
-.0127772775154242,1.8951346,1060,165,895,.15566038,.84433961,4.4936428,1.5557518,2.8884058,.0039584609,-.23104967,.46496144,-.49692222,.61935699,1
-.0127478880857092,1.8950956,1060,165,895,.15566038,.84433961,4.4922714,1.5546485,2.8895736,.0039439159,-.2309407,.46498781,-.4966597,.61954206,1
-.0121798812758796,1.8944814,1060,166,894,.15660377,.84339625,4.4552159,1.5333451,2.9055533,.0037496989,-.22912143,.46550143,-.4922035,.62268734,1
-.0119692687792314,1.894284,1060,167,893,.15754718,.84245282,4.4384437,1.5254011,2.9096897,.0037008643,-.22848752,.46569479,-.4906379,.62379402,1
-.0116095234140464,1.893945,1060,168,892,.15849057,.84150946,4.409183,1.5119405,2.9162412,.0036247012,-.22740301,.46601993,-.48796844,.62568295,1
-.0115335685581448,1.8938814,1060,170,890,.16037735,.83962262,4.4025965,1.5091834,2.9172044,.003613624,-.22718659,.46608946,-.48743132,.62606329,1
-.011501032261768,1.8938559,1060,170,890,.16037735,.83962262,4.3997126,1.5080044,2.9175725,.0036093991,-.22709431,.46611935,-.48720208,.62622565,1
-.011449624726623,1.8938241,1060,171,889,.16132076,.83867925,4.3948669,1.5061463,2.9179547,.0036050167,-.22697285,.46616685,-.48689187,.62644541,1
-.0114228440641253,1.893809,1060,172,888,.16226415,.83773583,4.3923974,1.5051819,2.9181836,.0036023955,-.22690865,.46619138,-.48672852,.62656116,1
-.0114062100739181,1.8937984,1060,174,886,.16415094,.83584905,4.3909564,1.5045891,2.918376,.0036001946,-.2268655,.46620658,-.48662013,.62663794,1
-.0113245853009711,1.8937455,1060,174,886,.16415094,.83584905,4.3840084,1.5016805,2.9194016,.0035884723,-.22663577,.4662824,-.48604828,.62704319,1
-.0113233779355638,1.8937448,1060,176,884,.16603774,.83396226,4.3838921,1.5016372,2.9194083,.0035883971,-.22663254,.46628356,-.48604017,.62704891,1
-.0112368414485327,1.8937012,1060,177,883,.16698113,.83301884,4.3755145,1.4985331,2.9198649,.0035831891,-.22638774,.4663671,-.48542821,.62748271,1
-.011224183699752,1.8936973,1060,177,883,.16698113,.83301884,4.3742557,1.4980793,2.9199092,.0035826848,-.2263515,.46637937,-.4853377,.62754685,1
-.0110597991828096,1.8936388,1060,179,881,.16886793,.83113205,4.3581042,1.4921467,2.9206941,.0035737515,-.22589327,.46653539,-.48419324,.62835848,1
-.0110178120689603,1.8936177,1060,179,881,.16886793,.83113205,4.3545356,1.4906502,2.9212327,.0035676353,-.22574611,.46657571,-.48383597,.62861198,1
-.0109696533950477,1.8935946,1060,181,879,.17075472,.82924527,4.350409,1.4889356,2.9218249,.0035609186,-.22558221,.46662205,-.4834367,.62889528,1
-.0109312729048078,1.8935777,1060,182,878,.17169811,.82830191,4.3470855,1.4875765,2.92226,.0035559905,-.225456,.46665895,-.48312798,.62911433,1
-.0104230330124479,1.8933761,1060,183,877,.17264152,.82735848,4.302043,1.4698076,2.9269431,.0035033536,-.22394605,.46713695,-.47940126,.63176167,1
-.0103384691288306,1.8933452,1060,183,877,.17264152,.82735848,4.2939391,1.4668874,2.9272454,.0034999794,-.22373141,.46721643,-.47886035,.63214636,1
-.0103064239116575,1.8933343,1060,185,875,.1745283,.8254717,4.2908359,1.465783,2.9273338,.003498995,-.22365233,.4672468,-.47865996,.63228887,1
-.0101609247977747,1.8932941,1060,185,875,.1745283,.8254717,4.2770329,1.460755,2.9279606,.0034920112,-.22327483,.46738526,-.47771046,.63296437,1
-.010142342341272,1.8932855,1060,187,873,.1764151,.82358491,4.2755413,1.4601161,2.9282203,.0034891227,-.22321223,.46740299,-.4775584,.63307256,1
-.010121511598412,1.8932741,1060,187,873,.1764151,.82358491,4.2740026,1.4594064,2.9285898,.0034850142,-.22313792,.46742269,-.47737929,.63320005,1
-.0100541364881195,1.8932397,1060,189,871,.17830189,.82169813,4.2689686,1.4571161,2.9297383,.0034722749,-.22289792,.46748614,-.47680113,.63361156,1
-.0099317447711337,1.8931918,1060,189,871,.17830189,.82169813,4.2589879,1.4529631,2.9312429,.0034556482,-.22246984,.46760359,-.47576588,.63434875,1
-.0098234081842929,1.8931525,1060,191,869,.18018869,.81981134,4.2499881,1.4492981,2.9324455,.0034424139,-.22210205,.46770841,-.47487292,.63498491,1
-.0097788538166503,1.8931357,1060,191,869,.18018869,.81981134,4.2464552,1.4478173,2.9330049,.0034362737,-.22194721,.46775261,-.47449699,.63525277,1
-.0096307269446982,1.8930824,1060,193,867,.18207547,.8179245,4.2345114,1.4429047,2.9347131,.0034175832,-.22142163,.46790272,-.47322151,.63616204,1
-.0095840302392567,1.8930686,1060,193,867,.18207547,.8179245,4.2306933,1.4413583,2.9352129,.0034121328,-.22124949,.46795046,-.47280535,.63645887,1
-.009407183689413,1.8930209,1060,195,865,.18396227,.81603771,4.2160406,1.4355072,2.9369693,.0033930386,-.22060056,.4681313,-.4712365,.63757825,1
-.0093685782154903,1.8930054,1060,195,865,.18396227,.81603771,4.2133489,1.4342614,2.9376435,.0033857352,-.22043301,.46817186,-.47083777,.63786286,1
-.0093637626739584,1.8930027,1060,197,863,.18584906,.81415093,4.213057,1.4341068,2.9377568,.0033845096,-.2204099,.46817693,-.47078335,.63790172,1
-.0093243409986538,1.8929808,1060,198,862,.18679245,.81320757,4.2106824,1.4328415,2.9386935,.0033743889,-.22022098,.46821868,-.47033787,.63821983,1
-.0093178468225943,1.8929776,1060,199,861,.18773586,.81226414,4.2102728,1.4326335,2.9388347,.0033728681,-.22019187,.46822548,-.47026888,.63826907,1
-.0093089950089318,1.8929728,1060,199,861,.18773586,.81226414,4.209713,1.4323502,2.9390249,.0033708173,-.22015263,.46823478,-.47017574,.63833559,1
-.0092562747649503,1.8929441,1060,200,860,.18867925,.81132078,4.2064247,1.4306514,2.9402163,.0033579972,-.21991773,.46829098,-.46961766,.63873416,1
-.0091388309097669,1.8928697,1060,201,859,.18962264,.81037736,4.2000227,1.4269392,2.9433787,.0033241871,-.21936965,.46841383,-.46832445,.63965821,1
-.0091159582312088,1.8928537,1060,202,858,.19056603,.80943394,4.1989274,1.4262305,2.9440737,.0033168001,-.2192522,.46843833,-.46804923,.63985497,1
-.0091013960093437,1.8928438,1060,204,856,.19245283,.80754715,4.1982369,1.4257792,2.944521,.0033120527,-.21917848,.46845415,-.46787608,.63997877,1
-.0090212293076679,1.8927855,1060,204,856,.19245283,.80754715,4.1943517,1.4232937,2.9469333,.0032865545,-.21878381,.46854123,-.46694678,.64064324,1
-.008714266655767,1.8925706,1060,205,855,.19339623,.80660379,4.1785579,1.4138108,2.9555283,.0031971615,-.21732402,.46887439,-.46350157,.64310932,1
-.0085022385064472,1.8924327,1060,207,853,.19528303,.804717,4.166585,1.4073174,2.9606576,.0031448761,-.21636096,.46910393,-.46122181,.64474332,1
-.0084977962712379,1.8924301,1060,207,853,.19528303,.804717,4.1663194,1.4071816,2.9607544,.0031438961,-.21633993,.46910873,-.46117222,.64477885,1
-.0084628214728174,1.8924103,1060,208,852,.19622642,.80377358,4.1642375,1.4061133,2.9615233,.003136128,-.21617159,.46914697,-.46077585,.64506316,1
-.0084211194839582,1.8923662,1060,209,851,.19716981,.80283016,4.1626735,1.4048645,2.9630425,.0031208326,-.21594205,.46919045,-.46024394,.64544469,1
-.0084147011547732,1.8923595,1060,210,850,.1981132,.8018868,4.1624312,1.4046729,2.9632745,.0031185024,-.21590656,.46919715,-.46016169,.6455037,1
-.0083702030266902,1.8923098,1060,212,848,.2,.80000001,4.1610236,1.4033448,2.9650757,.003100466,-.21564567,.46924424,-.45955953,.64593583,1
-.008335177642738,1.8922706,1060,212,848,.2,.80000001,4.1599593,1.402316,2.9664922,.0030863516,-.21542633,.46928266,-.4590545,.64629829,1
-.0081647052796562,1.8920866,1060,214,846,.20188679,.79811323,4.1542168,1.3973095,2.973011,.0030221408,-.21439986,.46946734,-.45668748,.64799833,1
-.0079288323442324,1.8918351,1060,215,845,.2028302,.7971698,4.1459551,1.3904427,2.9817519,.0029379588,-.21298267,.46972272,-.4534221,.65034664,1
-.00789985454454,1.8918047,1060,216,844,.20377359,.79622644,4.1448684,1.3896018,2.982774,.0029282547,-.21281268,.46975416,-.45302987,.65062898,1
-.0078932573634448,1.8917983,1060,216,844,.20377359,.79622644,4.144598,1.3894095,2.9829924,.002926186,-.21277408,.46976137,-.45294079,.65069306,1
-.0078282920723752,1.8917365,1060,217,843,.20471698,.79528302,4.1417933,1.3875192,2.9850349,.0029068976,-.21241407,.46983084,-.45210758,.65129298,1
-.0077029910711109,1.8916348,1060,218,842,.20566037,.7943396,4.1354089,1.3838842,2.9882624,.0028766554,-.2117584,.4699651,-.45058325,.65239108,1
-.0076983818566005,1.8916309,1060,220,840,.20754717,.79245281,4.1351824,1.3837512,2.9883857,.0028755055,-.21173398,.46997005,-.45052654,.65243191,1
-.0076433708185047,1.8915826,1060,220,840,.20754717,.79245281,4.1326389,1.3821703,2.9899638,.0028608297,-.21143351,.47002947,-.44983035,.65293372,1
-.0076112586693685,1.8915527,1060,221,839,.20849057,.79150945,4.1313009,1.381263,2.9909589,.0028516098,-.21124312,.47006479,-.44939151,.6532501,1
-.007533189489897,1.8914756,1060,222,838,.20943396,.79056603,4.1283226,1.3790566,2.9935849,.0028274101,-.21074043,.4701539,-.44823712,.6540826,1
-.0074919382805022,1.8914359,1060,224,836,.21132076,.78867924,4.1266732,1.3778967,2.9949076,.0028152918,-.2104601,.47020203,-.44759506,.65454584,1
-.0074347337766953,1.8913796,1060,225,835,.21226415,.78773582,4.1243882,1.3762815,2.9967623,.0027983808,-.2100493,.47026989,-.44665691,.65522289,1
-.0072770153404121,1.891237,1060,226,834,.21320754,.78679246,4.1177735,1.3718511,3.0016186,.0027545383,-.20892207,.47045395,-.44408613,.65707976,1
-.0072385874293179,1.8912046,1060,226,834,.21320754,.78679246,4.1160307,1.3707736,3.0027063,.0027448039,-.20864406,.47049931,-.44345242,.65753782,1
-.007112590315928,1.8911005,1060,228,832,.21509434,.78490567,4.1101122,1.3672435,3.0061302,.0027143725,-.20772055,.4706488,-.44134933,.65905887,1
-.007070659967542,1.891068,1060,229,831,.21603774,.78396225,4.1081038,1.3660705,3.0072415,.0027045603,-.20740877,.47069907,-.44063985,.6595723,1
-.0067281669597286,1.8908098,1060,229,831,.21603774,.78396225,4.0911498,1.3565322,3.0158885,.0026293225,-.20483199,.47111386,-.43478233,.66381752,1
-.0067177051803737,1.8908018,1060,230,830,.21698113,.78301889,4.090631,1.3562429,3.0161493,.0026270824,-.20475221,.47112662,-.43460122,.66394895,1
-.006573620642932,1.8906941,1060,232,828,.21886793,.7811321,4.0833149,1.3522598,3.0196233,.0025974223,-.20365638,.47130251,-.43211389,.66575509,1
-.006494218298375,1.8906344,1060,232,828,.21886793,.7811321,4.0791168,1.3500578,3.0214384,.0025820467,-.20306939,.47139916,-.43078011,.66672438,1
-.0064782769537649,1.8906223,1060,233,827,.21981132,.78018868,4.078259,1.3496163,3.0217915,.002579066,-.20295222,.47141853,-.43051389,.66691792,1
-.0064538706061422,1.890605,1060,234,826,.22075471,.77924526,4.0769067,1.3489407,3.0223024,.0025747565,-.20277305,.47144839,-.43010658,.66721404,1
